gene,cls,reloc,l1,top,top_delta
KEL,C1_no_reloc,0,0.016974765807390213,Aggresome,-0.009762272238731384
FGFR1,C1_no_reloc,0,0.025205325335264206,Aggresome,0.009108901023864746
HIST1H1E,C4_nuclear,1,0.055193427950143814,Nucleoli rim,-0.03730282187461853
ADIPOQ,C3_secretory,1,0.04490894079208374,Aggresome,0.02558279037475586
RAPSN,C2_aggregation,1,0.007509937509894371,Nucleoli,0.0031366348266601562
TFAP2A,C5_cytoplasmic,1,0.14591285586357117,Nucleoli,0.0772942453622818
CYCS,C4_nuclear,1,0.04683256894350052,Aggresome,-0.01995059847831726
HMGCS2,C5_cytoplasmic,1,0.04066901281476021,Centriolar satellite,-0.025631606578826904
ICK,C5_cytoplasmic,1,0.018720710650086403,Aggresome,-0.007413409650325775
PTH1R,C3_secretory,1,0.08259071409702301,Intermediate filaments,-0.050303712487220764
SLC7A9,C1_no_reloc,0,0.023461144417524338,Aggresome,-0.017848312854766846
KRT6A,C2_aggregation,1,0.05487874150276184,Nucleoli,-0.03914077579975128
FGF10,C3_secretory,1,0.006809836719185114,Aggresome,-0.004369685426354408
SDHD,C1_no_reloc,0,0.11268333345651627,Nucleoli rim,-0.0628221333026886
ACTN4,C1_no_reloc,0,0.006699043326079845,Lipid droplets,0.004682421684265137
UROD,C4_nuclear,1,0.026078207418322563,Nucleoli rim,0.013886958360671997
CYP1A2,C1_no_reloc,0,0.03430858626961708,Aggresome,0.020815670490264893
EBP,C2_aggregation,1,0.023985721170902252,Nucleoli fibrillar center,-0.016631722450256348
IL12RB1,C1_no_reloc,0,0.03609946370124817,Intermediate filaments,0.022513359785079956
RPS19,C4_nuclear,1,0.11084600538015366,Nucleoli rim,0.07784175872802734
SLC39A4,C1_no_reloc,0,0.0232473686337471,Aggresome,-0.010058730840682983
GGCX,C1_no_reloc,0,0.06190551072359085,Aggresome,-0.02486240863800049
NR0B1,C5_cytoplasmic,1,0.024652309715747833,Nucleoli,0.013640761375427246
PTH1R,C3_secretory,1,0.07800783962011337,Nucleoli rim,0.043885305523872375
KRT2,C2_aggregation,1,0.08388909697532654,Nucleoli,0.058072417974472046
