scope,config,fold,n,n_positive,prevalence,auroc,auprc
fold,baseline_pca_struct,0.0,406,47,0.11576354679802955,0.5992413915723346,0.17589560957761483
fold,plus_ddg_esm2,0.0,406,47,0.11576354679802955,0.6218811118354768,0.22493116704058222
fold,plus_structure_ddgs,0.0,406,47,0.11576354679802955,0.6317785811651752,0.1854172149201025
fold,final_all_ddgs,0.0,406,47,0.11576354679802955,0.6458839566170805,0.1860042836179836
fold,baseline_pca_struct,1.0,430,41,0.09534883720930233,0.6102576964072983,0.17447818266399978
fold,plus_ddg_esm2,1.0,430,41,0.09534883720930233,0.5980939243839739,0.1811967867678183
fold,plus_structure_ddgs,1.0,430,41,0.09534883720930233,0.5985328233745063,0.18048084818116572
fold,final_all_ddgs,1.0,430,41,0.09534883720930233,0.5958994294313122,0.1478494131136479
fold,baseline_pca_struct,2.0,431,51,0.11832946635730858,0.567389060887513,0.1620241401009902
fold,plus_ddg_esm2,2.0,431,51,0.11832946635730858,0.5946852425180599,0.18019067045219128
fold,plus_structure_ddgs,2.0,431,51,0.11832946635730858,0.5698658410732714,0.1729883471951869
fold,final_all_ddgs,2.0,431,51,0.11832946635730858,0.5924148606811146,0.19720874909169936
fold,baseline_pca_struct,3.0,454,63,0.13876651982378854,0.5574635651361994,0.19717906094293028
fold,plus_ddg_esm2,3.0,454,63,0.13876651982378854,0.5924572727641781,0.21342690257376012
fold,plus_structure_ddgs,3.0,454,63,0.13876651982378854,0.5903868793894369,0.21487559912777232
fold,final_all_ddgs,3.0,454,63,0.13876651982378854,0.6416189664271505,0.24863340731653408
fold,baseline_pca_struct,4.0,458,34,0.07423580786026202,0.6612791342952274,0.16053834992946706
fold,plus_ddg_esm2,4.0,458,34,0.07423580786026202,0.6791759156492785,0.13394112227890032
fold,plus_structure_ddgs,4.0,458,34,0.07423580786026202,0.6614872364039956,0.14965354239709314
fold,final_all_ddgs,4.0,458,34,0.07423580786026202,0.697558268590455,0.1572270911391521
full_oof,baseline_pca_struct,,2179,236,0.10830656264341441,0.589824838402959,0.15673826337213337
full_oof,plus_ddg_esm2,,2179,236,0.10830656264341441,0.6111770196358942,0.1687635198404418
full_oof,plus_structure_ddgs,,2179,236,0.10830656264341441,0.6038342768914051,0.16968396630835442
full_oof,final_all_ddgs,,2179,236,0.10830656264341441,0.6286408402173819,0.17576208713124347
paired_alphamissense,alphamissense,,2140,235,0.10981308411214953,0.6490713128943988,0.16193050573865858
paired_alphamissense,final_all_ddgs,,2140,235,0.10981308411214953,0.6311364270955492,0.17797883843856452
