scope,kind,name,auroc_mean,auroc_ci_low,auroc_ci_high,auprc_mean,auprc_ci_low,auprc_ci_high
task15_full_oof,difference,stability_tmd_64_minus_stability_61,0.013331843499064034,-0.008061566705034665,0.03458978445211558,0.02285169404172527,-0.004980962916182034,0.05084674455973351
task15_full_oof,model,stability_61,0.6284362897222213,0.5892036931016701,0.6684912861844655,0.18026493505115035,0.13969674244975186,0.22558592485850895
task15_full_oof,model,stability_tmd_64,0.6417681332212855,0.601313840260249,0.6815134739821579,0.20311662909287562,0.15207693461550273,0.25881846883184983
task15_paired_am,difference,stability_tmd_64_minus_alphamissense,-0.004868516511915755,-0.04811381296226588,0.03789961113814445,0.038757908830561086,-0.006332573490143324,0.08616286531037269
task15_paired_am,model,alphamissense,0.6490482025575749,0.607945662413084,0.690462022497586,0.16590396376687494,0.12992474577915883,0.2081468153390887
task15_paired_am,model,stability_tmd_64,0.6441796860456592,0.6048226713113664,0.6825667829180897,0.204661872597436,0.15201889270286034,0.2612429284412944
task16_paired_test,difference,ensemble_64_minus_xgboost_64,-0.0007406716713453308,-0.05551120625908659,0.05218902943121698,0.0007629702940031791,-0.06485214677264182,0.06433726921021254
task16_paired_test,difference,tabpfn_64_minus_xgboost_64,-0.021606031168543077,-0.11111420871666207,0.06303367515788208,0.03944911567440457,-0.08149939025427315,0.16468479853935544
task16_paired_test,difference,xgboost_64_minus_alphamissense,0.018203028816602806,-0.14547011333268944,0.18229853709371036,0.05230585982365599,-0.08157609712395933,0.20571036646074972
task16_paired_test,model,alphamissense,0.6179342684958173,0.4541239798497761,0.777498702564492,0.17254015411887402,0.07311342515632026,0.31105727950534207
task16_paired_test,model,ensemble_64,0.6353966256410749,0.4892088733242439,0.7607491025656417,0.2256089842365332,0.09382490791527529,0.35864227612525523
task16_paired_test,model,tabpfn_64,0.6145312661438771,0.4656096824013037,0.7466521967903182,0.2642951296169346,0.09588780216279034,0.42871587144539014
task16_paired_test,model,xgboost_64,0.6361372973124202,0.5084725935049242,0.7493710908708561,0.22484601394253,0.09062614152583691,0.3751251585822891
